City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
640,Itarema,BR,77.72,scattered clouds,-2.92,-39.92,Windvillage
643,Biak,ID,83.5,clear sky,-0.91,122.88,Kost Ariz
646,Kamaishi,JP,82.4,broken clouds,39.27,141.88,Hotel Route Inn Kamaishi
651,Ankola,IN,81.95,light rain,14.67,74.3,TAVARU MANJAGUNI ROAD
655,Menemen,TR,77.0,clear sky,38.61,27.07,Orkide Otel
659,Mazatan,MX,75.2,broken clouds,14.87,-92.45,Jose Luis Villalobos De La Cruz
663,Dwarka,IN,81.23,heavy intensity rain,22.24,68.97,Hotel Narayan Avezika Comfort
667,Male,MV,87.8,broken clouds,4.17,73.51,Hotel Octave Maldives
671,La Palma,US,78.8,clear sky,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
672,Pulandian,CN,78.8,scattered clouds,39.4,121.97,HR East Hotel
673,Harper,LR,75.36,broken clouds,4.38,-7.72,Screensaver
674,Panaba,MX,76.28,overcast clouds,21.28,-88.27,Hotel Amor
682,Pekalongan,ID,88.36,clear sky,-6.89,109.68,Hotel Sahid Mandarin Pekalongan
